Tiêu đề,Diện tích(m2),Số phòng ngủ,Số Phòng WC,Thời gian đăng,Tỉnh/Thành,Quận/Huyện,Hướng nhà,Hướng ban công,Loại nhà,Giá,Link
"Bán nhà ngõ Chiến Thắng, Khâm Thiên, gần phố, ở ngay 4 tầng 13m2 giá 1.75 tỷ",13,2,3,25/10/2023,Hà Nội,Đống Đa,,,Bán Nhà riêng,1.75,https://batdongsan.vn/ban-nha-ngo-chien-thang-kham-thien-gan-pho-o-ngay-4-tang-13m2-gia-175-ty-r281979
"Bán gấp nhà đẹp 2 PN Đỗ Xuân Hợp , 2 PN , ngang 5m ,đường ô tô, cho thuê kinh doanh",60,2,2,25/10/2023,TP Hồ Chí Minh,Quận 9,,,Bán Nhà riêng,3.9,https://batdongsan.vn/ban-gap-nha-dep-2-pn-do-xuan-hop-2-pn-ngang-5m-duong-o-to-cho-thue-kinh-doanh-r281978
SIÊU PHẨM - NỘI THẤT MỚI XỊN - HXH - HAI MẶT HẺM.,38,3,2,25/10/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,48.0,https://batdongsan.vn/sieu-pham-noi-that-moi-xin-hxh-hai-mat-hem-r281977
Bán nhà phân lô Phùng KHoang- 2 oto tránh- nằm trong khu quy hoạch mở đường,,,7,25/10/2023,Hà Nội,Nam Từ Liêm,,,Bán Nhà riêng,8.44,https://batdongsan.vn/ban-nha-phan-lo-phung-khoang-2-oto-tranh-nam-trong-khu-quy-hoach-mo-duong-r281975
"Nhà 3 tầng Đỗ Xuân Hơp, 3 tầng, 45m2, 2 PN 3 WC , HXT tránh , kinh doanh , 3,1 tỷ",45,3,3,25/10/2023,TP Hồ Chí Minh,Quận 9,,,Bán Nhà riêng,3.1,https://batdongsan.vn/nha-3-tang-do-xuan-hop-3-tang-45m2-2-pn-3-wc-hxt-tranh-kinh-doanh-31-ty-r281974
"Bán Nhà Quận 7 -3 Lầu ST Mặt Tiền Đường Số, P.Tân Quy dt76m2(4x19m) Hiện Hữu ,Gía 12,7Tỷ",76,3,3,25/10/2023,TP Hồ Chí Minh,Quận 7,Bắc,,Bán Nhà,12.7,https://batdongsan.vn/ban-nha-quan-7-3-lau-st-mat-tien-duong-so-ptan-quy-dt76m24x19m-hien-huu-gia-127ty-r281973
Bán Nhà Quận 10 - Hẻm Xe Hơi - 5 Tầng BTCT - 4PN - Chỉ 9Tỷ8,45,,,25/10/2023,TP Hồ Chí Minh,Quận 10,,,Bán Nhà riêng,8.9,https://batdongsan.vn/ban-nha-quan-10-hem-xe-hoi-5-tang-btct-4pn-chi-9ty8-r281971
"HOT Khan Hiếm GÓC 2 MT PHAN ĐĂNG LƯU ngay CÔNG VIÊN PHÚ NHUẬN, DT 6x12m, Giá 18 Tỷ",72,,,25/10/2023,TP Hồ Chí Minh,Phú Nhuận,,,Bán Nhà mặt phố,18.0,https://batdongsan.vn/hot-khan-hiem-goc-2-mt-phan-dang-luu-ngay-cong-vien-phu-nhuan-dt-6x12m-gia-18-ty-r281968
"Biệt thự vườn 119 m2 Nguyễn Duy Trinh,ô tô đậu tại sân, nội thất đẹp",119,3,3,29/10/2023,TP Hồ Chí Minh,Quận 2,,,Bán Nhà riêng,6.0,https://batdongsan.vn/biet-thu-vuon-119-m2-nguyen-duy-trinho-to-dau-tai-san-noi-that-dep-r282014
"Biệt thự vườn 119 m2 Nguyễn Duy Trinh,ô tô đậu tại sân, nội thất đẹp",119,3,3,29/10/2023,TP Hồ Chí Minh,Quận 2,,,Bán Nhà riêng,6.0,https://batdongsan.vn/biet-thu-vuon-119-m2-nguyen-duy-trinho-to-dau-tai-san-noi-that-dep-r282014
