Tiêu đề,Diện tích(m2),Số phòng ngủ,Số phòng WC,Thời gian đăng,Tỉnh/Thành,Quận/Huyện,Hướng nhà,Hướng ban công,Loại nhà,Giá,Link
"Nhà Mặt tiền gần Đỗ Xuân Hợp sầm uất , 5 phòng trọ,phù hợp kinh doanh,chỉ hơn 40 tr/m",113.0,5.0,5.0,09/05/2023,TP Hồ Chí Minh,Quận 9,,,Bán Nhà riêng,6.3,https://batdongsan.vn/nha-mat-tien-gan-do-xuan-hop-sam-uat-5-phong-trophu-hop-kinh-doanhchi-hon-40-trm-r277242
"BÁN NHÀ 1T+1L.HẺM XE TẢI.ĐƯỜNG SỐ 9,GẦN NHÀ THỜ KHIẾT TÂM.BÌNH CHIỂU THỦ ĐỨC",55.0,2.0,2.0,09/05/2023,TP Hồ Chí Minh,Thủ Đức,Nam,Đông,Bán Nhà riêng,4.5,https://batdongsan.vn/ban-nha-1t1lhem-xe-taiduong-so-9gan-nha-tho-khiet-tambinh-chieu-thu-duc-r277239
"Nhà phố Lavela 1 trệt 2 lầu – nằm ngay tại Thuận An – Bình Dương, CK lên tới 18%",60.0,3.0,4.0,09/05/2023,Bình Dương,Thuận An,,,Bán Nhà mặt phố,2.4,https://batdongsan.vn/nha-pho-lavela-1-tret-2-lau-nam-ngay-tai-thuan-an-binh-duong-ck-len-toi-18-r277237
"Bán nhà mặt phố Kim Mã, Ba Đình 70m,3 tầng. Giá: 25 tỷ",70.0,3.0,,09/05/2023,Hà Nội,Ba Đình,,,Bán Nhà mặt phố,25.0,https://batdongsan.vn/ban-nha-mat-pho-kim-ma-ba-dinh-70m3-tang-gia-25-ty-r277236
NHÀ 2 TẦNG - KHU DÂN TRÍ CAO - HẼM XE TẢI THÔNG - NGANG CHUẨN 4M NHĨNH 4 TỶ XÍU,61.0,,,09/05/2023,TP Hồ Chí Minh,Quận 12,,,Bán Nhà mặt phố,4.05,https://batdongsan.vn/nha-2-tang-khu-dan-tri-cao-hem-xe-tai-thong-ngang-chuan-4m-nhinh-4-ty-xiu-r277234
NHÀ 2 TẦNG - KHU DÂN TRÍ CAO - HẼM XE TẢI THÔNG - NGANG CHUẨN 4M NHĨNH 4 TỶ XÍU,61.0,,,09/05/2023,TP Hồ Chí Minh,Quận 12,,,Bán Nhà mặt phố,4.05,https://batdongsan.vn/nha-2-tang-khu-dan-tri-cao-hem-xe-tai-thong-ngang-chuan-4m-nhinh-4-ty-xiu-r277233
Nhà bán Quận 7 Hàng hiếm 70m2 ôtô đỗ cửa ngang 6m 2 Tầng chỉ 5.X Tỷ,70.0,2.0,2.0,09/05/2023,TP Hồ Chí Minh,Quận 7,,,Bán Nhà riêng,5.3,https://batdongsan.vn/nha-ban-quan-7-hang-hiem-70m2-oto-do-cua-ngang-6m-2-tang-chi-5x-ty-r277232
"Cần bán nhà mới ra lò, 1 trệt 2 lầu 4x13m2 4PN - 3WC, sổ hồng hoàn công giá chỉ 4 tỷ 6 thương lượng",53.0,4.0,3.0,09/05/2023,TP Hồ Chí Minh,Quận 9,,,Bán Nhà riêng,4.6,https://batdongsan.vn/can-ban-nha-moi-ra-lo-1-tret-2-lau-4x13m2-4pn-3wc-so-hong-hoan-cong-gia-chi-4-ty-6-thuong-luong-r277231
"Cần bán nhà khu VIP chia lô quân đội, phố Hoàng Văn Thái, ô tô đỗ cửa, thang máy “xịn sò” giá 10 tỷ.",42.0,,,09/05/2023,Hà Nội,Thanh Xuân,,,Bán Nhà riêng,10.0,https://batdongsan.vn/can-ban-nha-khu-vip-chia-lo-quan-doi-pho-hoang-van-thai-o-to-do-cua-thang-may-xin-so-gia-10-ty-r277230
"Nhà khu yên tĩnh, ô tô đỗ cửa Âu Cơ, P.9, Tân Bình, 3.95 tỷ",45.0,2.0,2.0,09/05/2023,TP Hồ Chí Minh,Tân Bình,,,Bán Nhà riêng,3.95,https://batdongsan.vn/nha-khu-yen-tinh-o-to-do-cua-au-co-p9-tan-binh-395-ty-r277229
Bán nhà 2 lầu hẻm 4m đường Phạm Thế Hiển Phường 3 Quận 8,44.0,,,09/05/2023,TP Hồ Chí Minh,Quận 8,,,Bán Nhà riêng,5.9,https://batdongsan.vn/ban-nha-2-lau-hem-4m-duong-pham-the-hien-phuong-3-quan-8-r277228
"Bán nhà xây sẵn, sổ sẵn, giá rẻ nhất khu vực, nằm ngay mặt tiền đường Tân Phước Khánh 32, Tân Uyên",62.0,2.0,3.0,09/05/2023,Bình Dương,Tân Uyên,,,Bán Nhà mặt phố,2.4,https://batdongsan.vn/ban-nha-xay-san-so-san-gia-re-nhat-khu-vuc-nam-ngay-mat-tien-duong-tan-phuoc-khanh-32-tan-uyen-r277225
KHÁCH SẠN 5 TẦNG 6 TỶ - THỊ TRẤN HOCMON  -  RẼ NHẤT KHU VỰC,86.0,,,09/05/2023,TP Hồ Chí Minh,Hóc Môn,,,Bán Nhà mặt phố,6.0,https://batdongsan.vn/khach-san-5-tang-6-ty-thi-tran-hocmon-re-nhat-khu-vuc-r277217
NHÀ BÁN NGAY HOÀNG DIỆU 2.THỦ ĐỨC.GIÁ SIÊU TỐT. NHÀ MỚI 2 TẦNG 3PN HOÀN CÔNG ĐỦ - 4.9x13,64.0,3.0,2.0,09/05/2023,TP Hồ Chí Minh,Thủ Đức,Nam,Nam,Bán Nhà riêng,4.2,https://batdongsan.vn/nha-ban-ngay-hoang-dieu-2thu-ducgia-sieu-tot-nha-moi-2-tang-3pn-hoan-cong-du-49x13-r277216
"XE HƠI NGỦ TRONG NHÀ, ĐƯỜNG THỐNG NHẤT, PHƯỜNG 11, GÒ VẤP, 95m2, 7.7 TỶ",95.0,4.0,4.0,09/05/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà riêng,,https://batdongsan.vn/xe-hoi-ngu-trong-nha-duong-thong-nhat-phuong-11-go-vap-95m2-77-ty-r277212
5.5 Tỷ Diện Tích 115m2 Nhà 2 Tầng Mặt Phố Sơn Thủy 2 Ngũ Hành Sơn Đà Nẵng.,115.0,,,09/05/2023,Đà Nẵng,Ngũ Hành Sơn,,,Bán Nhà mặt phố,5.5,https://batdongsan.vn/55-ty-dien-tich-115m2-nha-2-tang-mat-pho-son-thuy-2-ngu-hanh-son-da-nang-r277211
"Tân Phú, Kế Chợ Tân Hương, Gần MT Kinh Doanh, Nhà 3tầng 4x25, giá rẻ",100.0,4.0,3.0,09/05/2023,TP Hồ Chí Minh,Tân Phú,Nam,Nam,Bán Nhà riêng,6.98,https://batdongsan.vn/tan-phu-ke-cho-tan-huong-gan-mt-kinh-doanh-nha-3tang-4x25-gia-re-r277210
Hxh Bạch Đằng 7.5 tỷ 5x11 8pn Phường 24 Bình Thạnh,55.0,8.0,8.0,09/05/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,7.5,https://batdongsan.vn/hxh-bach-dang-75-ty-5x11-8pn-phuong-24-binh-thanh-r277207
"3,35 tỷ 3pn 4,5x10 Quang Trung Phường 10 Gò Vấp",45.0,3.0,2.0,09/05/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà riêng,3.35,https://batdongsan.vn/335-ty-3pn-45x10-quang-trung-phuong-10-go-vap-r277206
"NHÀ ĐẸP - SÁT ĐH CÔNG THƯƠNG - ĐÌNH PHONG PHÚ - 50M2 - GIÁ YÊU THƯƠNG CHỈ 3,3 TỶ",50.0,1.0,1.0,09/05/2023,TP Hồ Chí Minh,Quận 9,,,Bán Nhà riêng,3.3,https://batdongsan.vn/nha-dep-sat-dh-cong-thuong-dinh-phong-phu-50m2-gia-yeu-thuong-chi-33-ty-r277205
"NHÀ 3 TẦNG NGAY NGÃ 4 KINH DƯƠNG VƯƠNG - HỒ HỌC LÃM BÌNH TÂN, 4X16, HXH, NHỈNH 4 TỶ",65.0,,,09/05/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,4.25,https://batdongsan.vn/nha-3-tang-ngay-nga-4-kinh-duong-vuong-ho-hoc-lam-binh-tan-4x16-hxh-nhinh-4-ty-r277204
"NHÀ 3 TẦNG NGAY NGÃ 4 KINH DƯƠNG VƯƠNG - HỒ HỌC LÃM BÌNH TÂN, 4X16, HXH, NHỈNH 4 TỶ",65.0,,,09/05/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,4.25,https://batdongsan.vn/nha-3-tang-ngay-nga-4-kinh-duong-vuong-ho-hoc-lam-binh-tan-4x16-hxh-nhinh-4-ty-r277203
"Bán nhà lô góc Ngọc Thụy, Long Biên, 85m x 6 tầng, MT 5m, ô tô, thang máy, 13 tỷ 9",85.0,4.0,7.0,09/05/2023,Hà Nội,Long Biên,,,Bán Nhà riêng,13.9,https://batdongsan.vn/ban-nha-lo-goc-ngoc-thuy-long-bien-85m-x-6-tang-mt-5m-o-to-thang-may-13-ty-9-r277201
0934874723,60.0,,,09/05/2023,TP Hồ Chí Minh,Quận 12,,,Bán Nhà riêng,2.3,https://batdongsan.vn/0934874723-r277200
"Bán nhà MTNB kinh doanh, 4x11m, nhỉnh 3tỷ ngay Tân Phú, Bình Tân, 0899306823",44.0,,,09/05/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,3.99,https://batdongsan.vn/ban-nha-mtnb-kinh-doanh-4x11m-nhinh-3ty-ngay-tan-phu-binh-tan-0899306823-r277198
"Nhà đẹp Hẻm Ô Tô 7 chỗ vào nhà, 50m2, Tỉnh Lộ 10 giáp Q6, chỉ 3tỷ ,0899306823",,,,09/05/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,3.4,https://batdongsan.vn/nha-dep-hem-o-to-7-cho-vao-nha-50m2-tinh-lo-10-giap-q6-chi-3ty-0899306823-r277197
"BÁN NHÀ KIM GIANG nhà 5 tầng mới tinh DT32mx5tx4,25 tỷ",32.0,3.0,,09/05/2023,Hà Nội,Thanh Trì,,,Bán Nhà riêng,4250000.0,https://batdongsan.vn/ban-nha-kim-giang-nha-5-tang-moi-tinh-dt32mx5tx425-ty-r277196
"NHÀ MỚI ĐẸP  - Q12 -2,15 TỶ - SHR",34.0,,,09/05/2023,TP Hồ Chí Minh,Quận 12,,,Bán Nhà riêng,2.15,https://batdongsan.vn/nha-moi-dep-q12-215-ty-shr-r277195
"NHÀ 2,5 TẦNG KIỆT NGUYỄN CHÍ THANH",102.0,3.0,,09/06/2023,Thừa Thiên Huế,Huế,Đông-Nam,,Bán Nhà riêng,,https://batdongsan.vn/nha-25-tang-kiet-nguyen-chi-thanh-r277193
"BÁN GẤP NHÀ MẶT TIỀN ĐÀ NẴNG,SƠN TRÀ,ĐƯỜNG 7M5,2 TẦNG, GIÁ CHỈ 4 TỶ TIỂU HỌC.",75.0,3.0,2.0,09/04/2023,Đà Nẵng,Sơn Trà,,,Bán Nhà mặt phố,4.45,https://batdongsan.vn/ban-gap-nha-mat-tien-da-nangson-traduong-7m52-tang-gia-chi-4-ty-tieu-hoc-r277189
"BÁN GẤP NHÀ MẶT TIỀN ĐÀ NẴNG,SƠN TRÀ,ĐƯỜNG 7M5,2 TẦNG, GIÁ CHỈ 4 TỶ TIỂU HỌC.",75.0,3.0,2.0,09/04/2023,Đà Nẵng,Sơn Trà,,,Bán Nhà mặt phố,4.45,https://batdongsan.vn/ban-gap-nha-mat-tien-da-nangson-traduong-7m52-tang-gia-chi-4-ty-tieu-hoc-r277188
"Bán nhà Đường Linh Đông, Ngay Phạm Văn Đồng, dt 246 m² Giá 8,8 Tỷ",246.0,,,09/04/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà riêng,8.8,https://batdongsan.vn/ban-nha-duong-linh-dong-ngay-pham-van-dong-dt-246-m-gia-88-ty-r277187
"Nhà Phạm Văn Đồng , 5x10 , 2 tầng sổ đẹp không lỗi , gần GiagaMall",50.0,3.0,2.0,09/04/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà riêng,4.35,https://batdongsan.vn/nha-pham-van-dong-5x10-2-tang-so-dep-khong-loi-gan-giagamall-r277186
kẹt tiền kinh doanh cần bán căn nhà mặt tiền đường Gò Ô Môi Q.7,120.0,6.0,6.0,09/04/2023,TP Hồ Chí Minh,Quận 7,Bắc,Bắc,Bán Nhà riêng,14.9,https://batdongsan.vn/ket-tien-kinh-doanh-can-ban-can-nha-mat-tien-duong-go-o-moi-q7-r277185
"GẤP - NHÀ ĐẸP 4 TẦNG, 10X12, MẶT TIỀN KHU TÊN LỬA, GIÁ CỰC TỐT NHỈNH 13 TỶ",120.0,,,09/04/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,13.5,https://batdongsan.vn/gap-nha-dep-4-tang-10x12-mat-tien-khu-ten-lua-gia-cuc-tot-nhinh-13-ty-r277184
"Hxh Bùi Đình Tuý P24 Bình Thạnh 5x18 2 lầu 10,6 tỷ",90.0,3.0,3.0,09/04/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,10.6,https://batdongsan.vn/hxh-bui-dinh-tuy-p24-binh-thanh-5x18-2-lau-106-ty-r277183
Hxh Điện Biên Phủ 7.1 tỷ P15 Bình Thạnh 5x15,75.0,4.0,3.0,09/04/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,7.1,https://batdongsan.vn/hxh-dien-bien-phu-71-ty-p15-binh-thanh-5x15-r277181
"Hẻm Xe Hơi Đỗ Cổng Đường Vũ Tùng Phường 2 Bình Thạnh, Ngang 4.7 x 8.5, 2 Tầng Nhỉnh 4 tỷ",41.0,4.0,4.0,09/04/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,4.8,https://batdongsan.vn/hem-xe-hoi-do-cong-duong-vu-tung-phuong-2-binh-thanh-ngang-47-x-85-2-tang-nhinh-4-ty-r277177
"NHÀ HAI MẶT TIỀN TRUNG TÂM PHƯỜNG 5, BÌNH THẠNH, 3 TẦNG BTCT, 60M2, NHỈNH 7 TỶ",60.0,3.0,2.0,09/04/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,7.1,https://batdongsan.vn/nha-hai-mat-tien-trung-tam-phuong-5-binh-thanh-3-tang-btct-60m2-nhinh-7-ty-r277172
"SOS bán gấp nhà MT Hoàng Kế Viêm, Ngũ Hành Sơn,115m2, Đường7,5m, Giá chỉ 12.9 tỷ TL.",115.0,6.0,5.0,09/04/2023,Đà Nẵng,Ngũ Hành Sơn,,,Bán Nhà mặt phố,12900000.0,https://batdongsan.vn/sos-ban-gap-nha-mt-hoang-ke-viem-ngu-hanh-son115m2-duong75m-gia-chi-129-ty-tl-r277171
LÔ GÓC 2 THOÁNG – MẶT NGÕ Ô TÔ VÀO NHÀ – NGÕ THÔNG – NỞ HẬU – CẦU GIẤY – 10 TỶ,44.0,,,09/04/2023,Hà Nội,Cầu Giấy,,,Bán Nhà riêng,10.0,https://batdongsan.vn/lo-goc-2-thoang-mat-ngo-o-to-vao-nha-ngo-thong-no-hau-cau-giay-10-ty-r277170
Bán nhà Đại Mỗ ô tô đỗ cửa,35.0,,,09/04/2023,Hà Nội,Nam Từ Liêm,,,Bán Nhà riêng,3.0,https://batdongsan.vn/ban-nha-dai-mo-o-to-do-cua-r277168
Siêu phẩm tại Đại Mỗ,35.0,,,09/04/2023,Hà Nội,Nam Từ Liêm,,,Bán Nhà riêng,3.0,https://batdongsan.vn/sieu-pham-tai-dai-mo-r277167
Bán nhà riêng Đại Mỗ,35.0,,,09/04/2023,Hà Nội,Nam Từ Liêm,,,Bán Nhà riêng,3.0,https://batdongsan.vn/ban-nha-rieng-dai-mo-r277166
Bán nhà Đại Mỗ Nam Từ Liêm,35.0,,,09/04/2023,Hà Nội,Nam Từ Liêm,,,Bán Nhà riêng,3.0,https://batdongsan.vn/ban-nha-dai-mo-nam-tu-liem-r277165
Bán nhà Bán nhà,35.0,,,09/04/2023,Hà Nội,Nam Từ Liêm,,,Bán Nhà riêng,3.0,https://batdongsan.vn/ban-nha-ban-nha-r277164
Bán Nhà Hẻm 7m - Tỉnh Lộ 10 - BTĐ - 68m2 - 5 tầng - 5 PN - Chỉ 7 tỷ,68.0,5.0,6.0,09/04/2023,TP Hồ Chí Minh,Bình Tân,Tây-Bắc,Tây-Bắc,Bán Nhà riêng,7.0,https://batdongsan.vn/ban-nha-hem-7m-tinh-lo-10-btd-68m2-5-tang-5-pn-chi-7-ty-r277161
